,Company,Title,Location,Url
76,Exact,Senior Software Engineer .NET,Delft,https://jobs.github.com/positions/045efb98-2e50-41dc-971a-1ea9a90a3ddc
77,Hubble_s,Full Stack Developer,Europe (remote),https://jobs.github.com/positions/bcf29c85-8bb5-4663-9d55-f12b1349f624
78,talentsconnect AG,Senior Full Stack Java Developer (w/m/d),"Cologne, Germany",https://jobs.github.com/positions/102e22a9-af03-4d21-b0c9-6c40063d26e1
79,Flyclops,Senior Software Engineer,Philadelphia,https://jobs.github.com/positions/953e8a4f-cf2c-4015-a544-3f7cbb5d8e03
80,Atlantic Food Labs GmbH,"Co-Founder & CTO (m,f,x)",Berlin,https://jobs.github.com/positions/62abf53b-bd52-48dd-b014-acc28c63bdd1
81,DoctorBox GmbH,iOS Developer (f/m/d),Berlin,https://jobs.github.com/positions/cec4fc5b-3d4b-4014-8c96-470e93504c02
82,Raycast,Developer Advocate,"Remote, EU",https://jobs.github.com/positions/4621ed62-9f09-4d25-8694-24291ccde35c
83,Microsoft,"Microsoft Software Engineer. Dublin, Ireland.","Dublin, Ireland",https://jobs.github.com/positions/aa5a4c42-7a7a-4513-9de6-a0daeba36d87
84,Impala,Frontend Developer,Europe (remote),https://jobs.github.com/positions/db414a07-d403-44c2-a6c4-d560cbb3fb10
85,Heritage Type Co.,(Senior) Software Engineer - Frontend,Berlin,https://jobs.github.com/positions/a0d95d16-02bf-4080-ae0f-fdf73c4db555
86,E Shells Inc.,Senior Front End Designer/Developer Needed - Shells.com,Los Angeles/Partially Remote,https://jobs.github.com/positions/10dddabd-2b7d-4503-b70b-30f1a78b464b
87,Quorum Analytics,DevOps Engineer,"Washington, DC",https://jobs.github.com/positions/c5841d41-9b70-4eb4-b4ff-2059ebed179c
88,ACS TECHNOLOGIES GROUP  INC.,Software Engineer - Lead,"Greenville, SC",https://jobs.github.com/positions/f818819b-ff4c-46c9-acf2-798a8d32f4f3
89,GOhiring GmbH,Senior fullstack developer React / Ruby,Berlin | Remote,https://jobs.github.com/positions/22e9ee02-45c6-4e96-bcc3-c72db00185fc
90,"Datica, Inc",Software Engineer,United States,https://jobs.github.com/positions/e7892a26-7417-4e50-9d12-568c34a002c3
91,Potato London Ltd,Python / Django Engineer ,London,https://jobs.github.com/positions/d5fec958-5aca-4d12-9d56-1a61e66fba60
92,Rightmove,Backend Developer - Rightmove.co.uk,"Soho, London",https://jobs.github.com/positions/392ff0d0-e5c9-4624-be45-dff8c21a2351
93,Axios,Senior Mobile Engineer (React Native),Remote (USA),https://jobs.github.com/positions/445acbc9-9ca0-409b-b460-66619d3e4135
94,Raycast,"Software Engineer, Backend","Remote, EU",https://jobs.github.com/positions/9cebff17-8be6-466b-acff-dd5e0a083ac8
95,Raycast,"Software Engineer, Fullstack","Remote, EU",https://jobs.github.com/positions/1f925d62-ab2e-4700-b36b-767378fabc07
96,api.video,[CDI] Full Stack Developer,"Bordeaux, NAQ, FR",https://jobs.github.com/positions/1e68cdbf-b0ce-40e6-8a83-3124bbb69edb
97,Humanitec,Principal Backend Engineer,Berlin,https://jobs.github.com/positions/77208332-72c3-4c82-8ee8-59fe3f1535f0
98,Oregon State University - Ecampus,Analyst Programmer,"Corvallis, OR",https://jobs.github.com/positions/c7b8f1e2-57bc-4af7-846e-194063bb5862
99,7 Chord,Machine Learning Engineer - Trading,New York,https://jobs.github.com/positions/954ab75e-a886-49cd-9c75-33013e4b048d
100,Pinguin AG,Frontend Developer (m/f/d),Berlin,https://jobs.github.com/positions/78695122-a4ea-4d86-95c0-c14c0ab0d77d
101,SoundCloud,Principal Data Scientist (f/m/d),Berlin,https://jobs.github.com/positions/11db89a9-5b43-4deb-9780-81b3deb46005
102,SoundCloud,Principal Data Architect (f/m/d),Berlin,https://jobs.github.com/positions/00bcd48b-d062-4db7-9971-ea18ec6c563c
103,Integrationsbolaget,Lösningsarkitekt till Integrationsbolaget,Örebro,https://jobs.github.com/positions/d92fc65c-68f6-431a-b537-85d6048d9241
104,Integrationsbolaget,Lösningsarkitekt till Integrationsbolaget,Stockholm,https://jobs.github.com/positions/a1802589-84c1-425d-a667-9ec8efeaa8e0
105,Delicious Data GmbH,Machine Learning Engineer (f/m/d),"Garching, Munich",https://jobs.github.com/positions/83cd5517-5c26-4e05-9988-716dd5978712
106,Piktochart,Frontend Software Engineer Tech Lead (Europe/Asia),Remote,https://jobs.github.com/positions/5dd449ae-452f-45d2-8c34-dcf8cca3a118
107,Avante IO Inc.,Senior Full-Stack Developer,remote,https://jobs.github.com/positions/9c9bf26c-747c-4a2a-881a-4be19cb8909c
108,Bright Cellars,"Full Stack Engineer (React, Python)",Remote (USA),https://jobs.github.com/positions/a38eb19d-6451-420e-a1f7-f78979701a3a
109,Intelligence Group,Frontend Developer JS,Rotterdam (the Netherlands),https://jobs.github.com/positions/380dbebc-31cc-4900-87a8-3625ff6fb22e
110,ACTC GmbH tigha,WEB DEVELOPER FRONTEND / BACKEND (M/F/X),Düsseldorf,https://jobs.github.com/positions/32c6c288-d2d7-44da-bb86-e309091569af
111,InnoGames GmbH,Mobile Software Developer (C++) - Video Game: Forge of Empires,Hamburg,https://jobs.github.com/positions/f24dd505-4a18-4e66-8e41-4dd38ac79bc6
112,VendNovation,Ember.js - Lead Web Application/UX Developer,"Redmond, WA",https://jobs.github.com/positions/cfd34f2b-d4ff-44f6-abb4-4062c7c8bdeb
113,ChannelEngine.com B.V., DevOps engineer ,Leiden,https://jobs.github.com/positions/6b0acdbd-c94a-42bd-ad64-b2aa59f34407
114,Wonder,Engineering Manager (f/m/d),"Berlin, BE, DE",https://jobs.github.com/positions/68633180-4186-42f7-ab28-2b762a3bf794
115,api.video,Developer Advocate,"Bordeaux, NAQ, FR",https://jobs.github.com/positions/7b329931-be72-463e-ae62-3cd4c2323b64
116,AXIOS,Director of Engineering,Remote (USA),https://jobs.github.com/positions/a3fb4556-a1be-48dc-b4da-e3f439560ab5
117,"QSC, LLC",Senior Software Engineer,"Boulder, CO",https://jobs.github.com/positions/8a2e3d35-65ba-411d-9952-2e1940b73a4a
