,Job Title,Company,Location,Job Url
131,Full Stack PHP Developer,MemberVault,Remote,https://jobs.github.com/positions/30cd4668-e917-4b56-a3a6-10dd3c6f65e5
132,"Senior Java Specialist - Optimization, Performance, Cloud","The Software Revolution, Inc.","Kirkland, WA",https://jobs.github.com/positions/168da008-9bc4-4154-8e6e-4b7c9cc820b2
133,Software Architect,Earnest,Remote,https://jobs.github.com/positions/539b897b-3ead-4ff0-aabe-03d16d82134f
134,Cloud Architect,Earnest,Remote,https://jobs.github.com/positions/529db256-4a2c-4c88-b466-22b4f66c7176
135,Senior Frontend Developer (m/f/d),Skoobe,Munich,https://jobs.github.com/positions/53a94d51-1dfa-4b24-8140-7dbf80c798fd
136,Testspecialist Interceptie,Politie Nederland,Odijk,https://jobs.github.com/positions/41fdb38f-84e3-4443-9037-cb2614306d66
137,Software Test Engineer Java E-Health Plattform (m/w/d) inkl. Homeoffice Anteil,CompuGroup Medical SE & Co. KGaA,Koblenz,https://jobs.github.com/positions/4bdb4aac-5893-4334-a122-53dc44eb8bd2
138,Developer / Solution Engineer (f/m/d),Positive Minds GmbH,Dresden,https://jobs.github.com/positions/3d4fbfba-4f19-4ee7-8855-d81b352166a3
139,AWS Cloud Computing Virtual Lecturer (m/w/d),DCI Digital Career Institute,Remote,https://jobs.github.com/positions/8594a75a-156f-4a79-b30a-72aef8091631
140,Data Engineer (d/m/w) ,DEVK Versicherungen,50668 Köln,https://jobs.github.com/positions/2f702b5d-f344-4ea5-ab68-70983e24a53c
141,Product Owner (d/m/w) Application Lifecycle Management ,DEVK Versicherungen,50735 Köln,https://jobs.github.com/positions/8ae29e63-aa18-4065-971d-d41cf055e4f3
142,Python Backend Developer (Cloud),Pensa Systems,Remote,https://jobs.github.com/positions/0d290ab5-e308-48ff-a66a-ae0f768f0cab
143,Shopify Senior Frontend Developer (m/f/x) - Berlin,AVA & MAY,Berlin,https://jobs.github.com/positions/0443c998-b07a-43f7-8b4d-2679116ab3c0
